,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller
,Mixed / non conventional,138.00,132.00,142.50,126.00,1.74,0.00,134.797,2315.537,29.87,0,,1/28/2024 5:30:27 PM,0
,Mixed / non conventional,138.00,132.00,126.00,144.00,1.87,0.00,-114.820,2315.537,-37.70,0,,1/28/2024 5:30:27 PM,0
,Mixed / non conventional,139.00,133.00,136.00,134.50,0.89,0.00,143.366,2289.547,14.14,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,134.50,137.50,0.85,0.00,-274.960,2289.547,-7.07,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,137.50,131.50,0.87,0.00,308.206,2289.547,6.43,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,131.50,140.50,0.90,0.00,-348.515,2289.547,-5.89,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,140.50,130.00,0.98,0.00,268.464,2289.547,8.32,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,130.00,142.00,1.19,0.00,-192.037,2289.547,-14.14,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,142.00,128.50,1.21,0.00,154.379,2289.547,17.99,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,128.50,143.50,1.27,0.00,-117.938,2289.547,-24.74,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,143.50,127.00,1.25,0.00,95.687,2289.547,29.87,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,139.00,133.00,127.00,145.00,1.27,0.00,-77.393,2289.547,-37.70,0,,1/28/2024 5:30:29 PM,0
,Mixed / non conventional,140.00,134.00,137.00,135.50,0.89,0.00,144.921,2313.268,14.14,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,135.50,138.50,0.79,0.00,-259.939,2313.268,-7.07,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,138.50,132.50,0.79,0.00,282.857,2313.268,6.43,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,132.50,141.50,0.84,0.00,-329.750,2313.268,-5.89,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,141.50,131.00,0.91,0.00,252.810,2313.268,8.32,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,131.00,143.00,1.09,0.00,-178.928,2313.268,-14.14,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,143.00,129.50,1.14,0.00,146.184,2313.268,17.99,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,129.50,144.50,1.21,0.00,-112.959,2313.268,-24.74,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,144.50,128.00,1.21,0.00,93.631,2313.268,29.87,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,140.00,134.00,128.00,146.00,1.27,0.00,-77.960,2313.268,-37.70,0,,1/28/2024 5:30:31 PM,0
,Mixed / non conventional,141.00,135.00,138.00,136.50,0.85,0.00,139.628,2326.169,14.14,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,136.50,139.50,0.75,0.00,-245.508,2326.169,-7.07,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,139.50,133.50,0.76,0.00,273.703,2326.169,6.43,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,133.50,142.50,0.81,0.00,-319.890,2326.169,-5.89,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,142.50,132.00,0.86,0.00,240.723,2326.169,8.32,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,132.00,144.00,1.05,0.00,-172.464,2326.169,-14.14,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,144.00,130.50,1.08,0.00,139.816,2326.169,17.99,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,130.50,145.50,1.16,0.00,-108.729,2326.169,-24.74,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,145.50,129.00,1.21,0.00,94.270,2326.169,29.87,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,141.00,135.00,129.00,147.00,1.29,0.00,-79.415,2326.169,-37.70,0,,1/28/2024 5:30:33 PM,0
,Mixed / non conventional,142.00,136.00,139.00,137.50,0.81,0.00,131.054,2297.129,14.14,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,137.50,140.50,0.74,0.00,-239.164,2297.129,-7.07,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,140.50,134.50,0.77,0.00,273.617,2297.129,6.43,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,134.50,143.50,0.83,0.00,-322.957,2297.129,-5.89,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,143.50,133.00,0.88,0.00,241.763,2297.129,8.32,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,133.00,145.00,1.04,0.00,-168.810,2297.129,-14.14,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,145.00,131.50,1.07,0.00,136.110,2297.129,17.99,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,131.50,146.50,1.13,0.00,-104.819,2297.129,-24.74,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,146.50,130.00,1.15,0.00,88.520,2297.129,29.87,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,142.00,136.00,130.00,148.00,1.20,0.00,-73.406,2297.129,-37.70,0,,1/28/2024 5:30:36 PM,0
,Mixed / non conventional,143.00,137.00,140.00,138.50,0.81,0.00,133.524,2337.096,14.14,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,138.50,141.50,0.76,0.00,-249.964,2337.096,-7.07,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,141.50,135.50,0.79,0.00,286.750,2337.096,6.43,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,135.50,144.50,0.85,0.00,-335.484,2337.096,-5.89,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,144.50,134.00,0.89,0.00,251.007,2337.096,8.32,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,134.00,146.00,1.06,0.00,-174.878,2337.096,-14.14,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,146.00,132.50,1.08,0.00,140.150,2337.096,17.99,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,132.50,147.50,1.13,0.00,-106.679,2337.096,-24.74,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,147.50,131.00,1.14,0.00,89.192,2337.096,29.87,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,143.00,137.00,131.00,149.00,1.18,0.00,-73.039,2337.096,-37.70,0,,1/28/2024 5:30:38 PM,0
,Mixed / non conventional,144.00,138.00,141.00,139.50,0.83,0.00,137.410,2349.773,14.14,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,139.50,142.50,0.77,0.00,-254.696,2349.773,-7.07,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,142.50,136.50,0.78,0.00,285.204,2349.773,6.43,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,136.50,145.50,0.84,0.00,-335.851,2349.773,-5.89,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,145.50,135.00,0.91,0.00,257.136,2349.773,8.32,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,135.00,147.00,1.06,0.00,-175.746,2349.773,-14.14,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,147.00,133.50,1.08,0.00,141.214,2349.773,17.99,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,133.50,148.50,1.13,0.00,-107.079,2349.773,-24.74,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,148.50,132.00,1.13,0.00,89.097,2349.773,29.87,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,144.00,138.00,132.00,150.00,1.17,0.00,-72.848,2349.773,-37.70,0,,1/28/2024 5:30:40 PM,0
,Mixed / non conventional,145.00,139.00,142.00,140.50,0.85,0.00,139.222,2327.242,14.14,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,140.50,143.50,0.78,0.00,-255.607,2327.242,-7.07,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,143.50,137.50,0.77,0.00,280.339,2327.242,6.43,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,137.50,146.50,0.83,0.00,-328.858,2327.242,-5.89,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,146.50,136.00,0.90,0.00,252.981,2327.242,8.32,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,136.00,148.00,1.05,0.00,-173.528,2327.242,-14.14,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,148.00,134.50,1.10,0.00,141.805,2327.242,17.99,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,134.50,149.50,1.15,0.00,-107.833,2327.242,-24.74,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,149.50,133.00,1.16,0.00,90.303,2327.242,29.87,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,145.00,139.00,133.00,151.00,1.19,0.00,-73.363,2327.242,-37.70,0,,1/28/2024 5:30:43 PM,0
,Mixed / non conventional,146.00,140.00,143.00,141.50,0.80,0.00,130.710,2323.284,14.14,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,141.50,144.50,0.73,0.00,-240.094,2323.284,-7.07,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,144.50,138.50,0.74,0.00,268.633,2323.284,6.43,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,138.50,147.50,0.79,0.00,-313.288,2323.284,-5.89,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,147.50,137.00,0.84,0.00,235.133,2323.284,8.32,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,137.00,149.00,1.00,0.00,-164.503,2323.284,-14.14,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,149.00,135.50,1.05,0.00,135.380,2323.284,17.99,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,135.50,150.50,1.09,0.00,-102.721,2323.284,-24.74,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,150.50,134.00,1.12,0.00,87.251,2323.284,29.87,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,146.00,140.00,134.00,152.00,1.16,0.00,-71.212,2323.284,-37.70,0,,1/28/2024 5:30:45 PM,0
,Mixed / non conventional,147.00,141.00,144.00,142.50,0.84,0.00,137.596,2327.415,14.14,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,142.50,145.50,0.75,0.00,-246.940,2327.415,-7.07,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,145.50,139.50,0.76,0.00,273.551,2327.415,6.43,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,139.50,148.50,0.81,0.00,-320.057,2327.415,-5.89,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,148.50,138.00,0.86,0.00,240.384,2327.415,8.32,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,138.00,150.00,1.01,0.00,-166.964,2327.415,-14.14,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,150.00,136.50,1.04,0.00,134.931,2327.415,17.99,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,136.50,151.50,1.09,0.00,-102.096,2327.415,-24.74,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,151.50,135.00,1.11,0.00,86.827,2327.415,29.87,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,147.00,141.00,135.00,153.00,1.15,0.00,-71.107,2327.415,-37.70,0,,1/28/2024 5:30:47 PM,0
,Mixed / non conventional,148.00,142.00,145.00,143.50,0.89,0.00,145.235,2313.910,14.14,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,143.50,146.50,0.80,0.00,-262.496,2313.910,-7.07,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,146.50,140.50,0.80,0.00,288.195,2313.910,6.43,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,140.50,149.50,0.86,0.00,-335.999,2313.910,-5.89,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,149.50,139.00,0.91,0.00,251.984,2313.910,8.32,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,139.00,151.00,1.05,0.00,-172.197,2313.910,-14.14,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,151.00,137.50,1.08,0.00,138.399,2313.910,17.99,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,137.50,152.50,1.12,0.00,-104.609,2313.910,-24.74,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,152.50,136.00,1.13,0.00,87.251,2313.910,29.87,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,148.00,142.00,136.00,154.00,1.16,0.00,-71.326,2313.910,-37.70,0,,1/28/2024 5:30:49 PM,0
,Mixed / non conventional,149.00,143.00,146.00,144.50,0.91,0.00,149.227,2327.040,14.14,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,144.50,147.50,0.83,0.00,-271.769,2327.040,-7.07,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,147.50,141.50,0.84,0.00,303.784,2327.040,6.43,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,141.50,150.50,0.89,0.00,-351.468,2327.040,-5.89,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,150.50,140.00,0.92,0.00,257.059,2327.040,8.32,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,140.00,152.00,1.06,0.00,-175.083,2327.040,-14.14,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,152.00,138.50,1.07,0.00,138.523,2327.040,17.99,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,138.50,153.50,1.12,0.00,-104.995,2327.040,-24.74,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,153.50,137.00,1.12,0.00,86.960,2327.040,29.87,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,149.00,143.00,137.00,155.00,1.15,0.00,-71.155,2327.040,-37.70,0,,1/28/2024 5:30:52 PM,0
,Mixed / non conventional,150.00,144.00,147.00,145.50,0.85,0.00,139.055,2308.407,14.14,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,145.50,148.50,0.78,0.00,-253.785,2308.407,-7.07,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,148.50,142.50,0.79,0.00,284.570,2308.407,6.43,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,142.50,151.50,0.84,0.00,-328.138,2308.407,-5.89,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,151.50,141.00,0.88,0.00,243.494,2308.407,8.32,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,141.00,153.00,1.04,0.00,-169.054,2308.407,-14.14,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,153.00,139.50,1.03,0.00,132.074,2308.407,17.99,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,139.50,154.50,1.08,0.00,-100.985,2308.407,-24.74,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,154.50,138.00,1.07,0.00,82.979,2308.407,29.87,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,150.00,144.00,138.00,156.00,1.12,0.00,-68.370,2308.407,-37.70,0,,1/28/2024 5:30:54 PM,0
,Mixed / non conventional,151.00,145.00,148.00,146.50,0.77,0.00,128.097,2342.374,14.14,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,146.50,149.50,0.70,0.00,-231.737,2342.374,-7.07,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,149.50,143.50,0.71,0.00,258.405,2342.374,6.43,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,143.50,152.50,0.76,0.00,-301.039,2342.374,-5.89,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,152.50,142.00,0.81,0.00,227.850,2342.374,8.32,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,142.00,154.00,0.97,0.00,-160.601,2342.374,-14.14,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,154.00,140.50,0.99,0.00,128.587,2342.374,17.99,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,140.50,155.50,1.05,0.00,-99.664,2342.374,-24.74,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,155.50,139.00,1.05,0.00,82.078,2342.374,29.87,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,151.00,145.00,139.00,157.00,1.10,0.00,-68.165,2342.374,-37.70,0,,1/28/2024 5:30:56 PM,0
,Mixed / non conventional,152.00,146.00,149.00,147.50,0.77,0.00,127.568,2330.183,14.14,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,147.50,150.50,0.70,0.00,-231.212,2330.183,-7.07,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,150.50,144.50,0.71,0.00,259.078,2330.183,6.43,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,144.50,153.50,0.76,0.00,-301.111,2330.183,-5.89,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,153.50,143.00,0.81,0.00,226.147,2330.183,8.32,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,143.00,155.00,0.96,0.00,-158.273,2330.183,-14.14,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,155.00,141.50,0.99,0.00,127.624,2330.183,17.99,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,141.50,156.50,1.05,0.00,-98.548,2330.183,-24.74,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,156.50,140.00,1.05,0.00,81.901,2330.183,29.87,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,152.00,146.00,140.00,158.00,1.10,0.00,-68.098,2330.183,-37.70,0,,1/28/2024 5:30:59 PM,0
,Mixed / non conventional,153.00,147.00,150.00,148.50,0.79,0.00,130.257,2316.979,14.14,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,148.50,151.50,0.72,0.00,-236.569,2316.979,-7.07,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,151.50,145.50,0.73,0.00,262.317,2316.979,6.43,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,145.50,154.50,0.78,0.00,-306.110,2316.979,-5.89,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,154.50,144.00,0.82,0.00,228.608,2316.979,8.32,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,144.00,156.00,0.96,0.00,-157.643,2316.979,-14.14,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,156.00,142.50,0.98,0.00,126.498,2316.979,17.99,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,142.50,157.50,1.03,0.00,-96.826,2316.979,-24.74,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,157.50,141.00,1.05,0.00,81.076,2316.979,29.87,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,153.00,147.00,141.00,159.00,1.08,0.00,-66.538,2316.979,-37.70,0,,1/28/2024 5:31:01 PM,0
,Mixed / non conventional,154.00,148.00,151.00,149.50,0.74,0.00,122.785,2344.079,14.14,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,149.50,152.50,0.69,0.00,-227.911,2344.079,-7.07,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,152.50,146.50,0.72,0.00,260.957,2344.079,6.43,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,146.50,155.50,0.77,0.00,-305.055,2344.079,-5.89,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,155.50,145.00,0.81,0.00,229.381,2344.079,8.32,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,145.00,157.00,0.96,0.00,-159.012,2344.079,-14.14,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,157.00,143.50,0.98,0.00,127.705,2344.079,17.99,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,143.50,158.50,1.03,0.00,-97.895,2344.079,-24.74,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,158.50,142.00,1.04,0.00,81.968,2344.079,29.87,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,154.00,148.00,142.00,160.00,1.08,0.00,-67.006,2344.079,-37.70,0,,1/28/2024 5:31:03 PM,0
,Mixed / non conventional,155.00,149.00,152.00,150.50,0.75,0.00,121.779,2302.300,14.14,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,150.50,153.50,0.69,0.00,-226.246,2302.300,-7.07,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,153.50,147.50,0.72,0.00,258.429,2302.300,6.43,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,147.50,156.50,0.78,0.00,-303.677,2302.300,-5.89,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,156.50,146.00,0.83,0.00,229.452,2302.300,8.32,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,146.00,158.00,0.97,0.00,-158.583,2302.300,-14.14,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,158.00,144.50,1.00,0.00,127.843,2302.300,17.99,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,144.50,159.50,1.05,0.00,-97.651,2302.300,-24.74,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,159.50,143.00,1.06,0.00,81.801,2302.300,29.87,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,155.00,149.00,143.00,161.00,1.09,0.00,-66.672,2302.300,-37.70,0,,1/28/2024 5:31:06 PM,0
,Mixed / non conventional,156.00,150.00,153.00,151.50,0.75,0.00,124.731,2348.095,14.14,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,151.50,154.50,0.70,0.00,-231.865,2348.095,-7.07,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,154.50,148.50,0.72,0.00,261.983,2348.095,6.43,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,148.50,157.50,0.77,0.00,-307.684,2348.095,-5.89,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,157.50,147.00,0.82,0.00,232.052,2348.095,8.32,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,147.00,159.00,0.95,0.00,-157.867,2348.095,-14.14,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,159.00,145.50,0.98,0.00,128.096,2348.095,17.99,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,145.50,160.50,1.02,0.00,-96.783,2348.095,-24.74,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,160.50,144.00,1.04,0.00,81.615,2348.095,29.87,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,156.00,150.00,144.00,162.00,1.07,0.00,-66.386,2348.095,-37.70,0,,1/28/2024 5:31:08 PM,0
,Mixed / non conventional,157.00,151.00,154.00,152.50,0.75,0.00,122.876,2316.904,14.14,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,152.50,155.50,0.70,0.00,-228.998,2316.904,-7.07,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,155.50,149.50,0.72,0.00,258.959,2316.904,6.43,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,149.50,158.50,0.77,0.00,-301.826,2316.904,-5.89,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,158.50,148.00,0.81,0.00,225.570,2316.904,8.32,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,148.00,160.00,0.93,0.00,-153.059,2316.904,-14.14,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,160.00,146.50,0.96,0.00,123.331,2316.904,17.99,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,146.50,161.50,1.00,0.00,-93.226,2316.904,-24.74,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,161.50,145.00,1.01,0.00,78.654,2316.904,29.87,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,157.00,151.00,145.00,163.00,1.04,0.00,-63.972,2316.904,-37.70,0,,1/28/2024 5:31:10 PM,0
,Mixed / non conventional,158.00,152.00,155.00,153.50,0.69,0.00,113.539,2335.429,14.14,0,,1/28/2024 5:31:13 PM,0
,Mixed / non conventional,158.00,152.00,153.50,156.50,0.64,0.00,-210.337,2335.429,-7.07,0,,1/28/2024 5:31:13 PM,0
,Mixed / non conventional,158.00,152.00,156.50,150.50,0.66,0.00,240.393,2335.429,6.43,0,,1/28/2024 5:31:13 PM,0
,Mixed / non conventional,158.00,152.00,150.50,159.50,0.71,0.00,-281.353,2335.429,-5.89,0,,1/28/2024 5:31:13 PM,0
,Mixed / non conventional,158.00,152.00,159.50,149.00,0.75,0.00,211.189,2335.429,8.32,0,,1/28/2024 5:31:13 PM,0
,Mixed / non conventional,158.00,152.00,149.00,161.00,0.89,0.00,-147.401,2335.429,-14.14,0,,1/28/2024 5:31:13 PM,0
